on,on,on,on,on,on,on,on,on,on,on,on,off,off,off,off,on,on,on,on,off,off,off,off
on,on,on,on,on,on,on,on,on,on,on,on,off,off,off,off,on,on,on,on,off,off,off,off
on,on,on,on,on,on,on,on,on,on,on,on,off,off,off,off,on,on,on,on,off,off,off,off
on,on,on,on,on,on,on,on,on,on,on,on,off,off,off,off,on,on,on,on,off,off,off,off
on,on,on,on,on,on,on,on,on,on,on,on,off,off,off,off,on,on,on,on,off,off,off,off
on,on,on,on,on,on,on,on,on,on,on,on,off,off,off,off,on,on,on,on,off,off,off,off
on,on,on,on,on,on,on,on,off,off,off,off,on,on,on,on,off,off,off,off,on,on,on,on
on,on,on,on,on,on,on,on,off,off,off,off,on,on,on,on,off,off,off,off,on,on,on,on
on,on,on,on,on,on,on,on,off,off,off,off,on,on,on,on,off,off,off,off,on,on,on,on
on,on,on,on,on,on,on,on,off,off,off,off,on,on,on,on,off,off,off,off,on,on,on,on
on,on,on,on,on,on,on,on,off,off,off,off,on,on,on,on,off,off,off,off,on,on,on,on
on,on,on,on,on,on,on,on,off,off,off,off,on,on,on,on,off,off,off,off,on,on,on,on
on,on,on,on,on,on,on,on,on,on,on,on,off,off,off,off,on,on,on,on,off,off,off,off
on,on,on,on,on,on,on,on,on,on,on,on,off,off,off,off,on,on,on,on,off,off,off,off
on,on,on,on,on,on,on,on,on,on,on,on,off,off,off,off,on,on,on,on,off,off,off,off
on,on,on,on,on,on,on,on,off,off,off,off,on,on,on,on,off,off,off,off,on,on,on,on
on,on,on,on,on,on,on,on,off,off,off,off,on,on,on,on,off,off,off,off,on,on,on,on
on,on,on,on,on,on,on,on,off,off,off,off,on,on,on,on,off,off,off,off,on,on,on,on
