off,unknown,on,on,on,unknown,off,off,off,unknown,on,on,on,unknown,off,off,off,unknown,on,on,on,on,unknown,off
off,off,unknown,on,on,on,unknown,off,off,off,unknown,on,on,on,unknown,off,off,off,unknown,on,on,on,on,unknown
unknown,off,off,unknown,on,on,on,unknown,off,off,off,unknown,on,on,on,unknown,off,off,off,unknown,on,on,on,on
on,unknown,off,off,unknown,on,on,on,unknown,off,off,off,unknown,on,on,on,unknown,off,off,off,unknown,on,on,on
on,on,unknown,off,off,unknown,on,on,on,unknown,off,off,off,unknown,on,on,on,unknown,off,off,off,unknown,on,on
on,on,on,unknown,off,off,unknown,on,on,on,unknown,off,off,off,unknown,on,on,on,unknown,off,off,off,unknown,on
on,on,on,on,unknown,off,off,unknown,on,on,on,unknown,off,off,off,unknown,on,on,on,unknown,off,off,off,unknown
unknown,on,on,on,on,unknown,off,off,unknown,on,on,on,unknown,off,off,off,unknown,on,on,on,unknown,off,off,off
off,unknown,on,on,on,on,unknown,off,off,unknown,on,on,on,unknown,off,off,off,unknown,on,on,on,unknown,off,off
off,off,unknown,on,on,on,on,unknown,off,off,unknown,on,on,on,unknown,off,off,off,unknown,on,on,on,unknown,off
off,off,off,unknown,on,on,on,on,unknown,off,off,unknown,on,on,on,unknown,off,off,off,unknown,on,on,on,unknown
unknown,off,off,off,unknown,on,on,on,on,unknown,off,off,unknown,on,on,on,unknown,off,off,off,unknown,on,on,on
on,unknown,off,off,off,unknown,on,on,on,on,unknown,off,off,unknown,on,on,on,unknown,off,off,off,unknown,on,on
on,on,unknown,off,off,off,unknown,on,on,on,on,unknown,off,off,unknown,on,on,on,unknown,off,off,off,unknown,on
on,on,on,unknown,off,off,off,unknown,on,on,on,on,unknown,off,off,unknown,on,on,on,unknown,off,off,off,unknown
unknown,on,on,on,unknown,off,off,unknown,on,on,on,on,unknown,off,off,off,unknown,on,on,on,unknown,off,off,off
off,unknown,on,on,on,unknown,off,off,off,unknown,on,on,on,on,unknown,off,off,unknown,on,on,on,unknown,off,off
off,off,unknown,on,on,on,unknown,off,off,off,unknown,on,on,on,on,unknown,off,off,unknown,on,on,on,unknown,off
