on,on,on,on,on,on,on,on,on,on,on,off,off,off,on,on,on,on,on,on,on,on,on,on
on,on,on,on,on,on,on,on,on,on,on,on,off,off,off,on,on,on,on,on,on,on,on,on
on,on,on,on,on,on,on,on,on,on,on,on,off,off,off,on,on,on,on,on,on,on,on,on
on,on,on,on,on,on,on,on,on,on,on,on,on,on,on,off,off,off,on,on,on,on,on,on
on,on,on,on,on,on,on,on,on,on,on,on,on,on,on,on,off,off,off,on,on,on,on,on
on,on,on,on,on,on,on,on,on,on,on,on,on,on,on,on,on,off,off,off,on,on,on,on
on,on,on,on,on,on,on,on,on,on,on,on,on,on,on,on,on,off,off,off,on,on,on,on
on,on,on,on,on,on,on,on,on,on,on,on,on,on,on,on,on,off,off,off,on,on,on,on
on,on,on,on,on,on,on,on,on,on,on,on,on,on,on,on,on,on,on,on,off,off,off,on
on,on,on,on,on,on,on,on,on,on,on,on,on,on,on,on,on,on,on,on,off,off,off,on
on,on,on,on,on,on,on,on,on,on,on,on,on,on,on,on,on,on,on,on,off,off,off,on
on,on,on,on,on,on,on,on,on,on,on,on,on,on,on,on,on,on,on,on,off,off,off,on
on,on,on,on,on,on,on,on,on,on,on,on,on,on,on,on,on,off,off,off,on,on,on,on
on,on,on,on,on,on,on,on,on,on,on,on,on,on,on,on,on,on,off,off,off,on,on,on
on,on,on,on,on,on,on,on,on,on,on,on,on,on,on,on,on,on,on,on,off,off,off,on
on,on,on,on,on,on,on,on,on,on,on,on,on,on,on,on,on,on,on,on,off,off,off,on
on,on,on,on,on,on,on,on,on,on,on,on,on,on,off,off,off,on,on,on,on,on,on,on
on,on,on,on,on,on,on,on,on,on,on,on,on,on,on,off,off,off,on,on,on,on,on,on
